Question,Answer
Where did the ATF believe the exchange of money will be?,The food court.
What is the plan Jackie proposes to Max?,Pretend to help the authorities while smuggling Ordell's money.
Who shoots and kills Ordell?,Ray Nicolette
What is Jackie's job?,Flight Attendent
Who does Ordell live with?,Melanie Ralston
What does Max Cherry do to Beaumont Livingston?,Murders him.
Who does Jackie plan to exchange the money with in the mall?,Melanie
What is Ordell's former cell mate name?,Louis Gara
Where do Ordell and Cherry go to meet Jackie?,Cherry's office.
Why does Jackie smuggle money for Ordell?,She needs to earn more money than her salary pays to live on.
Why does Ordell kill Livingston?,Ordell thinks Livingston will inform on him to the cops.
How does Jackie prevent Ordell from killing her?,She makes a deal with him to pretend to help the FBI while actually smuggling in Ordell's money.
"Why does Ordell agree to Jackie's deal to help him smuggle $550,000?",He can retire on that money.
How much money does Jackie plan to steal?,"$500,000."
Where does the transfer take place?,The Del Amo Mall.
Who did Louis see in the dress department of the Mall?,Max Cherry.
Why does Ordell go to Max's office?,Max tells him Jackie is there with his money.
Who is Melanie Ralston?,A girl who lives with Ordell.
Where does Jackie decide to go once she has the money?,"Madrid, Spain."
What was Jackie's original career?,Flight attendant
What was the name of the black market gun runner Jackie smuggles for?,Ordell Robbie
"At the end of the story, Jackie plans to leave the country and go where?","Madrid, Spain "
What federal agency has eyes on Ordell?,ATF 
How much money is ordell trying to smuggle in?,"$550,000"
What is the name of the bail bondsman?,Max Cherry
What is the name of Ordell's surfer girl roommate?,Melanie Ralston
Who does ordell murder in the beginning of the story?,Beaumont Livingston
What does Mark Dargus do for a living?,LAPD detective
Who does Jackie claim stole  the money?,Melanie Ralston
What is the setting of the story Taking Sides?,The setting of the film is Berlin
What reason did a minister in Hitler's government give when he advise Furtwangler to go abroad?,To escape the war
What was Major Steve Arnold's task after the war?,Investigating former suspected Nazis
What was the result of Furtwangler's hearings?,He was exonerated. 
What was Wilhelm Furtwangler's occupation?,He was a conductor
What halted Furtwangler's conduction of Beethoven's 5th symphony?,Allied bomb raid
What did Furtwangler do after shaking hands with the Propaganda minister Joseph Goebbels?,He wipes his hands with a cloth
This story centers around what event in Wilhelm Furtwangler's life?,His denazification hearings
What military organization does the young Jewish liutenant who assists Arnold a part of?,The Big Red One
General Wallace is a part of which military branch?,The U.S. Army
What was Wilhelm Furtwangler's job in Nazi Germany?,He was a conductor.
What piece of music was being performed just before Furtwangler was advised by a Nazi to leave the country?,Beethoven's 5th Symphony
Which character was charged with the task of building a case for Furtwangler's guilt during the hearing?,Major Steve Arnold
What was the result of the hearing against Wilhelm Furtwangler?,He was exonerated.
What does footage of the real life Wilhelm Furtwangler show him doing after shaking the hand of Joseph Goebbels?,Wiping off his hands 
What was the job title of the person who told Steve Arnold that Furtwangler was professionally jealous and a womanizer?,Second violinist
Why did tension exist between Steve Arnold and the Lieutenant from The Big Red One?,Because of the sympathy the Lieutenant felt for Furtwangler and the German clerk in their office.
Emmaline Straube's father died for his loyalty to what cause?,The German Resistance
When was Furtwangler's recording of Bruckner's 7th Symphony aired via radio?,After the death of Hitler 
What stops Beethoven's 5th symphony performance?  ,Allied bomb raid
What task was Major Steve Arnold given by the US Army General Wallace?,"""getting"" Furtwangler/finding him guilty"
What is Furtwangler do on Hitler's birthday?,play music
When was Anton Bruckner's 7th Symphony played on the radio?,After Hitler's death
What does the conductor do after shaking hand with a Nazi?,Wiped his hands
What does Furtwangler do for a living?,He is a conductor. 
What happened to Furtwangler and his charges that were pressed against him?,he was exonerated 
Who was Arnold in charge of investigating?,former suspected Nazis 
What does the minister in Hitler's government advice Furtwangler to do?,go abroad and leave the war
Who is the Thumbprint Killer's real identity?,Earl Brooks
Who is Earl's daughter?,Jane
Who tries to blackmail Earl?,Mr. Smith
Why did Jane drop out of college?,She is pregnant
Who is the police officer chasing the Thumbprint Killer?,Tracy Atwood
Who kills Vialo and Sheila?,Smith
Who kills Smith?,Brooks
Who is named as the Thumbprint Killer?,Smith
What kind of DNA does Smith leave at the murder scene?,Urine
What does Brooks fear about Jane at the end of the story?,That she will become like him
What is Brooks secret life?,He is a serial killer known as the Thumbprint Killer
Why does Jane drop out of college?,She is pregnant 
Why is Jane interviewed by the police?,There was a murder committed in her dorm
What does Mr Smith blackmail Brooks with?,Pictures of him at his latest victims murder
What does Smith want from Brooks?,To go along with him on a murder 
Who is Marshall?,Brooks ID 
What conclusion does Brooks and Marshall come to about the murder in Jane's dorm?,Jane committed the murder
Who do the police believe the Thumbprint Killer is? ,Smith
What links Smith to the Thumbprint Killer?,His urine at a murder scene
Why doesn't Smith kill Brooks?,Brooks bent the firing pin so the gun wouldn't work
"Who was honored by the Portland, Oregon Chamber of Commerce as man of the year?",Earl Brooks
Who is named as the Thumbprint Murderer?,Mister Smith
Why did Emma say that Jane dropped out of college?,Because she is pregnant
What does Mister Smith demand that Brooks do?,Take him with him for his next murder
"What is Jane, to Earl Brooks?",His daughter
What is the young couple doing when Brooks murders them?,Having Sex
What does Brooks have a nightmare about?,Jane killing him
Who leaves DNA at the Vialo murder site?,Mister Smith
How does Brooks kill Mister Smith?,Slits his throat with a shovel
Who is the detective that is chasing the Thumbprint Murderer?,Tracy Atwood
Why did Sharon have her father arrested?,For beating her mother.
What does Catch do?,He wanders the streets and does good deeds for strangers and neighbors.
Who saves Sharon from a bullet to the head?,Catch.
What does Sharon find taped to her mailbox?,A dandelion and a phone number.
Why does Catch call Sharon to apologize?,After receiving advice from his mother-in-law.
Who calls Catch by the name Steve Lambert?,The club owner.
What does Sharon find out about Steve Lambert?,He is the man whose hand she was holding a year earlier at the traffic accident.
What other significant event was the day of the accident?,Catch's son's birthday.
What story does Sharon tell the videographer?,About playing with her father and brother when they were children.
What does Catch tell Sharon as they are about to leave the ceremony?,Catch tells Sharon that he will drive.
Who is Josephine to Sharon?,Her mother.
What was Sharon protected by when she was shot twice?,By her bulletproof vest.
What tune did Catch play on the trumpet?,Nature Boy.
Where did Sharon finds a dandelion?,Taped to her mailbox.
What name did the club owner called Catch?,Steve Lambert.
What did Catch do to save Sharon from being shot in the head?,He knocked the gun away.
What did Steve Lambert do as a living?,He was a jazz musician.
Where did Sharon and Catch went on a picnic?,State park.
Who died in Catch's car accident?,His wife and child.
Who is Larry to Sharon?,Her brother.
What was the place that was shot up?,the diner
Where did Sharon and Catch embrace?,standing by the car
Where was the criminal aiming at after the two shots?,the head
How many times was Sharon shot in the chest?,twice
Who was beaten? ,"Sharon""s mother Josephine"
Where was this place that was  a rainy night?,Chicago
Who saves Sharon's life?,Catch
Where was Catch while Sharon told the story to videogapher?,cemetary
What happen to Catch's wife and child?,They were killed in a car accident 
What causes Blade to surrender and be arrested by the FBI?,FBI killed Abraham Whistler. 
What is the name of the vampire hunting organization that Blade joined?,Nightstalkers
What is the relationship between Abigail Whistler and Abraham Whistler?,Abigail is Abraham's daughter.
Why did Danica Talos revive Dracula?,Danica hoped to cure the weaknesses of vampires.
What does Dracula plan to create?,A network of human farms for vampires to consume blood.
How do Danica and her followers die?,Blade activates the Daystar while fighting Dracula.
"Right before his death, what warning does Dracula tell Blade?",Blade will become a vampire.
"In the theatrical ending, why does the FBI declare that Blade is legally dead?",Dracula disguised as Blade before dying.
"In the unrated ending, what does Blade do that suggests that might be a vampire?",He attacks a nurse.
"In the werewolf ending, who reestablishes the Nightstalkers?",King and Abigail.
Who is the tomb believed to belong to?,Dracula
What is blade framed with?,The murder of a human familair
Who finds Blade's hideout?,FBI
Who tests blade?,Drake
What evidence does Abigail find?,Drakes true plan
Who deactivates the farm's life support systems?,Blade
Who has been taken captive at the Nighstalker's hideout?,King and Zoe
What does Drake warn Blade of?,He will eventually become a vampire
"In the theatrical ending, who does Drake disguise himself as?",Blade
In the Unrated ending who attacks the nurse?,Blade
"In the story, who is Hannibal King?",A private investigator who rescues Blade.
Who invites Blade to become a member of the Nightstalkers?,Abigail Whistler
Who is Abigail's father?,Abraham Whistler
What is Drake's real name?,Dracula
"In the story, what is Daystar?  ",An experimental bioweapon which kills vampires.
Who revived Dracula?,Danica Talos
What does Daystar need to be effective?,Blade's blood.
Why does Drake decide to isolate Blade from the Nightstalkers?,He considers them unworthy to fight.
How does Blade kill Drake?,By stabbing him with an arrow full of Daystar.
"As Drake is dying, what does he disclose to Blade?",That Blade will eventually become a vampire.
What role does Queen Guinevere play in the relationship between Alexander and Soredamors?,Guinevere helps them to share their feelings.
How does Fenice learn about magic?,From her governess
Why do Alis and Cliges not have to fight for the throne?,Alis dies while Cliges is in England.
How is Alexander persuaded to give up the throne to Alis?,Alis promised not to marry and pass the throne onto Cliges.
What relationship is Cliges to Fenice right after Fenice marries Alis?,Cliges is her nephew-in-law.
Why does Cliges leave Greece for King Arthur's court?,To become a knight like Alexander
When does Alis die?,While Cliges is in Britain asking for King Arthur's help
When is Alis persuaded to marry?,After the death of his brother Alexander.
Who was Alexander the son of?,The Greek Emperor Alexander 
Whose court did Alexander join?,King Arthur
Who is the traitor who takes Windsor Castle?,Count Angres
Who is Alexander and Soredamors' son?,Cliges
Who is Alexander's brother?,Alis
Who does Alis marry?,Fenice
Who does Cliges marry?,Fenice
Who tells Alis where Cliges is hiding?,Bertrand
Who fakes their death using magic?,Fenice
How does Cliges start his story?,"He begins with a story about his parents, Alexander and Soredamors."
What position does Cliges' father's father hold?,He is a Greek emperor.
When Clige's father Alexander travels to Britain what does he hope to accomplish?,He hopes to become a knight in King Arthur's realm.
"Once knighted, what is the first thing Alexander does as one of King Aruthur's knights?",He helps to retake Windsor Castle when it is taken over by a traitor.
Who is the woman Alexander falls in love with while knighting for King Aruthur?,"He falls in love with King Aruthur's neice, Soredamors."
After they marry and have Cliges where to Alexander and Soredamors go?,They go back to Greece. 
What do Alexander and Soredamores find when they return to Greece after their marriage?,They find that Alexander's brother Alis has claimed the throne following the death of Alexander's father.
What does Fenice do to make it possible for her and Cliges run off together after they have fallen in love?,"Fenice fakes her death with the help of her governess, allowing the two to run away together. "
Who finds Cliges and Fenice and what does he do with the information?,Bertrand finds them and tells Alis.
How does Cliges become emperor and free to marry Fenice?,When Alis dies Celiges is able to take the thrown and marry. 
In what year is most of humanity wiped-out by a virus?,1996
Where do the survivors live after a virus wipes-out most of humanity?,Underground.
Who is believed to be responsible for the virus that wipes out most of humanity?,A group named the Army of the Twelve Monkeys. 
Where is the underground shelter where James Cole is being held as a prisoner located?,Under the ruins of Philadelphia.
Why is James Cole sent back in time?,To collect information about the virus in order to try to develop a cure.
Where does James Cole force Dr. Kathryn Railly to take him after he kidnaps her?,To Philadelphia. 
Who does James Cole meet while he is hospitalized in a mental institution?,Jeffrey Goines.
Who is the founder of the Army of the Twelve Monkeys?,Jeffrey Goines.
What happens when James Cole draws a gun while pursuing Dr. Peters?,Cole is shot and killed by the police.
Where do Cole and Reilly decide they will spend their remaining time together before the plague strikes?,The Florida Keys.
Which group was initially thought to be responsible for the 1996 virus?,the Army of the Twelve Monkeys.
"Where was James Cole living as a prisoner, before he was selected to travel back in time?",A subterranean shelter beneath the ruins of Philadelphia.
What was happening in the recurring dreams that were bothering James Cole?,A foot chase and an airport shooting.
"While attempting to travel back in time to 1996 for the first time, where did James Cole actually end up?",Baltimore in 1990.
"On James Cole's second attempt at time travel, where did he land before finding his way to 1996?",A World War 1 battlefield.
Who is the founder of the Army of the Twelve Monkeys?,Jeffrey Goines.
Who does Goines claim came up with the idea to wipe out humanity?,James Cole in 1990.
Who is the small boy that witnesses James Cole's Death?,James Cole.
Who was responsible for the virus?,Dr. Peters.
In what year does a deadly virus wipe out majority of the human population?,1996
What group is believed to responsible for the virus?,Army of the Twelve Monkeys
In what year is James Cole selected for a mission to go back in time?,2035
Why is James Cole sent back in time?,James Cole is sent back in time to collect information about the virus.
What recurring dream keeps troubling Cole?,A dream involving a foot chase and an airport shooting.
In what city does Cole arrive when he time travels the first time?,Baltimore
Who is the founder of the Army of the Twelve Monkeys?,Goines
On whom does Goines assign blame for coming up with the idea of wiping out humanity?,Coles
Who is the real culprit behind the virus outbreak?,Dr. Peters
Who is the small boy that Railly makes eye contact with at the airport while Cole lies dying in her arms?,Young James Cole
What viewpoint is taken to identify the problem seen as an illness?,The viewpoint of a physician
What two European cities' fashionable socities are pointed out as breaking moral boundaries?,Paris and London
Where is the disease first recognized although not originated from?,France
What is condemned as rising in the late 19th Century as a product of degeneration?,Anti-Semitism
What type of individuals were seen as socially unacceptable in the 19th Century?,"Criminals, Gypsies, and Turks"
What is the degeneration both reflected in and influenced by?,Art
"Which four artists, writers, and thinkers are specifically discussed as case studies for the disease?","Richard Wagner, Oscar Wilde, Henrik Ibsen, Friedrich Nietzsche"
What are two defined conditions of the disease?,Degeneration and hysteria
What is the confluence of the minor stages of the disease designated?,Neurasthenia
What phenomenon is called a contempt for the traditional views of custom and morality?,Fin de siecle
How many writings did Nordau divide his study into?,5
From where does Nordau draw his examples of how fin de siecle has affected all aspects of society?,French literature and periodicals
What does Nordau say people are imitating that is causing the decline in society?,art
What is the basic premise of Nordau's writings?,That society is degenerating and this degeneration is influences by and  reflected in by art.
Who wrote The Origins of Totalitarianism?,Hannah Arendt
What was Oscar Wilde's role in Nordau's writings?,He was one of Nordau's case studies.
"In one sentence, what was the main idea of The Origins of Totalitarianism about?",How the 19th century society in France embraced those that had not historically been deemed as socially acceptable people.
How did Nordau's occupation affect his view of  this degeneration?,He saw it from a medical view as an illness.
The societies of which two cities were specifically critized by Nordau?,Paris and London
What does Nordau believe that people fashionable society seek most?,Attention.
"Nordau believes that society is sick, what phrase describes its symptoms?",fin-de-siecle.
What disease does Nordau diagnose from the tastes of fashionable society?,Hysteria.
Who might agree with Nordau that society is in decline?,Hannah Arendt.
Who in Europe does Nordau believe is affected by the fin-de-secle disposition?,All of society.
Why is it important to Arendt and Nordau that polite society embraced criminals?,It shows that social boundaries are weakening.
What disease does Nordau diagnose from the work of contemporary artists?,Degeneration.
What perspective does Nordau primarily use to critique society?,Nordau writes a physician diagnosing society's illness.
Why would Nordau and Freud disagree about how to interpret the human mind?,Nordau believed that there were physical causes for mental effects.
Why does Nordau think it is bad that people imitate what they see in art?,It leaves all of society in a state of strong nervous excitement.
What happened to Cassandra that made Athena and Poseidon mad?,Ajax the Lesser raped Cassandra and the Greek army condoned it
Who are Cassandra's parents?,King Priam and Queen Hecuba
What did the Greek Herald Talthybius tell queen Hecuba about Cassandra?,Cassandra will become a concubine of Agamemnon
What happened to Polyxena according to Andromache?,Polyxena was killed at the tomb of Achilles
Who will Andromache become the concubine of?,Neoptolemus
What did Talthybius tell Andromache would happen to her son Astyanax?,Andromache's son Astyanax would be killed
What are Greek leader afraid that Astyanax will do?,Astyanax will avenge his father Hector when he grows up
Who continued to live with Helen after the Trojan war?,Menelaus
Who buries Astyanax?,Hecuba
Who is Hecuba enslaved to after her family dies by fire?,Odysseus
Why do Poseidon and Athena want to punish the Greek armies?,Because they allowed Ajax the Lesser to rape Cassandra.
Who is the messenger who visits Queen Hecuba?,Talthybius
What is the proposed fate of Hecuba and Cassandra?,Hecuba will be taken away by Odysseus and Cassandra will be Agamemnon's concubine.
How does Cassandra take the news of her fate?,She is delighted in the news.
"What happened to Polyxena, Hecuba's youngest daughter?",She was sacrificed at the tomb of Achilles
What is Andromache's fate slated to be?,She is to be the concubine of Achilles son Neoptolemus.
How does Helen escape her destined fate from the Gods?,She seduces her husband into saving her life.
Whose body does Talthybius carry in on Hector's shield?,Little Astyanax.
What was Andromache's wish?,That Astyanax be buried performing the proper Trojan rituals.
What happens to Hecuba in the end?,She is carted off with Odysseus.
What city does the story take place in?,Troy
Who is Athena discussing punishing the Greek armies with?,Poseidon
Who arrives to tell Hecuba what will happen to her and her children?,Talthybius
Which character is able to see the future?,Cassandra
Which character was killed as a sacrifice at the tomb of Achilles?,Polyxena
Who arrives to try and take Helen back to Greece for a death sentence?,Menelaus
Who prepares Astynax's body for burial?,Hecuba
What is Talthbius carrying Astyanax's body on?,Hector's shield
Which character is taken away as a slave at the end of the story?,Hecuba
What does Jerry Maguire do that ends up getting him fired at the beginning of the story?,He publishes a mission statement which goes against the status quo.
"When Jerry Maguire announces he is going to start a new agency, which person from SMI goes with him?",Dorothy Boyd.
Why does Frank Cushman decide to go with Bob Sugar instead of Jerry Maguire?,"Because Jerry is focused on Tidwell, and Tidwell is African American."
Who is Bob Sugar?,"Bob Sugar is Jerry's former protege and, later, his biggest competition."
Which organization does Jerry Maguire work for at the beginning of the story?,Sports Management International (SMI).
What does Rod Tidwell do that causes Jerry Maguire to only secure one client as Bob Sugar steals the rest of Jerry's clients?,Rod puts Jerry through the ringer with a very long conversation.
"During a game between the Cardinals and the Cowboys, what does Rod Tidwell do when he appears to get injured?",Score a touchdown.
What good news does Rod Tidwell get while on Roy Firestone's sports show?,That Jerry was able to secure Rod a $11.2 million contract.
Who surprises Jerry at the end of the story by throwing a baseball?,"Ray, Dorothy's son."
"During an argument, what does Rod Tidwell claim that Jerry is not trying hard enough to do?",To get Rod a contract.
How much is the contract that Jerry secured for Rod with the Cardinals worth?,$11.2 million
Who is sent to fire Jerry Maguire?,Bob Sugar
"When Jerry starts his new management company, who is his main client?",Rod Tidwell
What is the name of the company Jerry works for at the beginning?,Sports Management International or SMI
Who were the Cardinals playing against when Rod received his injury?,Dallas Cowboys
Who goes with Jerry when he leaves SMI?,Dorothy Boyd
What is Dorothy's son's name?,Ray
How old is Jerry Maguire?,35
"Who initially stuck with Jerry after he left SMI, only to sign with SMI at the last minute?","Frank ""Cush"" Cushman"
What are two main critiques of sports agents in Jerry's mission statement?,They can be dishonest and often work with too many clients
"Who was Jerry's colleague and, ultimately rival, from Jerry's original agency?",Bob Sugar
"What position did Frank ""Cush"" Cushman play?",Quarterback
Who was Jerry's only client for much of the story?,Rod Tidwell
Why was Dorothy thinking about moving to San Diego?,She had a job offer there
"Besides Frank ""Cush"" Cushman, who else was instrumental in the decision to sign with SMI over Jerry?",Cush's father
Who were the Cardinals playing in the Monday Night Football game when Rod and Jerry embrace?,Dallas Cowboys
What kind of ball does Ray throw that prompts Jerry to consider whether he might have a career in sports?,Baseball
What team offers Rod a big contract that will cover his final years in football?,Arizona Cardinals
Whose sports show did Rod appear on?,Roy Firestone's
Who ends up with all the money at the end?,Suzie
What is Kenneth Bowden's profession?,He is the lawyer 
What was Suzie reason for seeking revenge against Duquette?,For killing  Dave and arresting her on drug charge
Why did Suzie and Kelly claim to be rapped by Lombardo:?,To get a settlement for Lombardo from Kelly's  family.
What does Duquette watch kelly and Susie do in the pool?,Have sex
What is Susie IQ?,200
What is found on the beach that leads Duquette and Gloria to believe that Susie is dead?, blood and teeth.
What is Lombardo upset about Duquette doing to Kelly instead of framing her?,He killed her instead.
What is the  reason  given in court for kelly accusing Lombardo of rape? ,He had an affair with her mother.
Who was Gloria in the story?,Duquette partner
What is Sam Lombardo accused of by two women?,rape
What is the amount of the settlement that is offered to Sam?,8.5 million dollars
Who is in plotting with Sam to obtain the settlement?,The two women accusing Sam of rape
What do the two women and Sam do to celebrate the court settlement?,Have sex
Who has sex in the pool together?,Kelly and Suzie
Who does Lombardo reportedly end up killing with Kelly?,Suzie
Who insists on investigating Sam?,Ray Duquette
Who ends up being alive and taking the money?,Suzie
Who kills Kelly in self defense?,Duquette
What is Gloria's relationship to Duquette?,Gloria is Duquette's investigative partner
What is Sam Lombardo's profession?,High School guidance counselor.
What crime is Sam accused of?,Rape.
How many student accuse Sam Lombardo of rape?,Two students.
What does Suzie admit at trial?,That she made it up for revenge.
Who is Sam Lombardo's lawyer?,Kenneth Bowden.
Where does Suzie attack Kelly?,In the pool.
What does Lombardo do with Suzie's body?,Dispose of it in the swamp. 
What are Bowden's final words to Suzie?,Be good.
What kind of a boat does Lombardo own?,A sailboat.
Who ends up being the mastermind of the whole thing?,Suzie.
What is promised to Mary for as long as Martin senior lives? ,To be well cared for.
Why did Martin senior want Martin Jr. to break off his engagement?,His engagement to Mary would compromise his care. 
What is Mercy's nickname?,Merry. 
What stolen item does Tigg sell to fund his transformation into a fine man?,A pocket watch.
Where do Martin and Mark set out to start new lives in the United States? ,Eden
Why did Jonas murder Tigg?,To prevent Tigg from revealing Jonas's plot to murder Anthony. 
How much was Cherry's dowry?,4000 pounds
What is Ruth employed as?,A governess.
Who is Ruth related to?,Tom Pinch
Who is Martin named after?,His grandfather
Why is Martin disinherited by his grandfather?,Because he wants to marry Mary
Who does Pinch fall in love with?,Mary
How are Anthony and Martin Senior related?,They are brothers
Who murders Tigg?,Jonas
What swampy settlement do Mark and Martin move to in America? ,Eden
In the end of the story what is it revealed that Tigg had known about Jonas?,Tigg knew Jonas was planning to kill Anthony
Who does Ruth Pinch marry?,John
Who was Tom Pinch's benefactor while he was in London?,Martin Senior
Who is the namesake that is raising Martin?,"His grandfather, Martin Sr."
Who is the greedy architect Martin apprentices with?,Seth Pecksniff
"Why has Seth taken Martin, Jr. on as an apprentice?","To get closer to the wealthy Martin, Sr."
"What does Montague Tigg cheat Martin, Jr out of?",A pocket watch
What does Tigg use the funds from the stolen watch for?,To transform himself into a gentleman named Tigg Montague
"What do Martin, Jr and Mark Tapley nearly die of?",They both become ill with Malaria
Why did Jonas murder Tigg?,To prevent him from revealing his plans to murder Anthony.
Who is Mary Graham?,"An orphan girl Martin, Sr raised to be his nursemaid"
Who does Ruth Pinch marry?,John Westlock
Who does Tom Pinch spend his life in unrequited love with?,Mary Graham
Who is David's best friend?,Lucien
What is David's profession?,He is a scientist
"By marrying Eve, David becomes Lucien's what?",Brother in law
What woman becomes obsessed with Lucien?,Mme De Bargeton
Who does Mme De Bargeton leave Lucien for?,Sixte du Chatelet
Who does Lucien become romantically involved with after Mme De Bargeton?,Coralie
How does Lucien upset his journalist colleagues?,He switches political sides
Whose name does he forge on three promissory notes?,David
Lucien's forgery forces David to do what?,To sell his invention to his business rivals
What stops Lucien from committing suicide?,He meets a Jesuit priest
Who is Lucien's best friend?,David Sechard
What is Lucien's profession?,He is a poet.
Why is David considered a poet?,Because he creavitely seeks the truth.
With whom does Lucien flee to paris?,Mme de Bargeton.
What did David invent?,A new way to produce paper.
Why is Coralie's reputation sundered?,As revenge for Lucien changing his allegiance to the royalist papers.
What has Lucien already written at the start of part I?,A novel and a sonnet sequence.
Who is supportive of Lucien at the start of the story?,David and Eve.
With whom does Lucien leave Angouleme at the end of the story?,"The false jesuit priest, Abbe Carlos Herrera."
Who does David marry?,"Lucien's sister, Eve."
What is the name of Lucien's sister?,Eve
Where does Lucien live? ,Angouleme
Who is Lucien's best friend?,David Sechard
What is David's profession?,He is a scientist
Who marries Eve?,David
Who initially becomes fascinated by Lucien?,Mme de Bargeton
Who does Mme de Bargeton leave Lucien for?,Sixte du Chatelet
Who forges David's name on three promissory notes?,Lucien
What does David invent?,A new way to improve paper production
Who does Lucien meet right before committing suicide?,Abbe Carlos Herrera
What kind of school did Miles attend?,A boarding school
Where did Flora live?,Summer country house in Essex
Who takes care of Flora?,Mrs. Grose
Who was put in charge of both Miles and Flora?,Mrs. Grose
What did the letter state that the Headmaster sent to Miles?,That he was expelled
What did the Governess fear in regards to the letter that Miles received?,She feared that there was a horrible secret behind him being expelled
What does the Governess keep seeing around the estate?,The figures of both a man and woman
What kind of relationship did Miss Jessel and Peter Quint previously share at the estate?,A sexual relationship
Who does the Governess also believe have seen the ghosts?,The two children
Who dies in the arms of the Governess?,Miles
What are the two figures that the governess sees that she does not recognize on the grounds?,Ghosts
Where is the summer country home where Flora is staying?,Essex
"When Flora goes missing, where do they find her?",In the woods
What does the letter from school explain about Miles?,He is expelled
What is the name of the housekeeper that was there before the governess?,Mrs. Grose
Where is Miles when the governess first comes to the summer country house?,Boarding school
What is the last name of the male who predeceases Mrs. Grose?,Quint and Jessel
How is the governess' employer related to Miles and Flora?,Uncle
"When the governess confronts Flora about having seen the ghost, who does the governess think she was speaking to?",Jessel
Who owns the manuscript read and claims to have known the governess?,Douglas
Who reads the manuscript to the narrator?,Douglas
What are the names of the children the governess looks after?,Miles and Flora
Who is the oldest of the children that the governess looks after?,Miles
Why do Miles and Flora live with their uncle?,Their parents died
Which child attends a boarding school?,Miles
What does the letter from the boarding school headmaster say?,Miles is expelled
Which child lived at a summer home in Essex?,Flora
Where does the children's uncle mainly reside?,London
What is the name of the predecessor to the governess in the story?,Miss Jessel
What do Mrs. Grose and the narrator find in the clearing in the wood?,Flora
Who became a drug addict? ,John Anderton
Who does the PreCog say Anderton will murder? ,Leo Crow
Who is the founder of PreCrime? ,Lamar Burgess
Which PreCog often has alternative visions? ,Agatha
How does Anderton avoid the optical recognition program? ,He gets an eye transplant
Who is auditing the PreCog program? ,Danny Witwer
Who kills Witwer? ,Burgess
Who is Ann Lively? ,Agatha's mother
What happens to the PreCrime prisoners? ,They are all pardoned. 
Who are expecting a baby? ,Anderton and Lara
"How are murders predicted and stopped in Washinton, D.C. 2054?",By using three mutated humans called Precogs.
Who does the Pecogs predict Anderton will kill in 36 hours?,Leo Crow
What does Anderton do to keep from being recognized by the city wide opitcal recognition program?,Get a eye transplant.
Who does Anderton kidnap from Precrime?,Agatha
What does Anderton and Agatha find at Crow's apartment?,pictures of children including Andertons son who had been murdered
Who murders Witwer using Anderton's gun?,Burgess
What does the warden tell Anderton as he puts him in prison?,That all your dreams come true.
Who killed Agatha's mother and set up Anderton?,Burgess
Who is expecting a baby with Anderton?,Lara
Where are would be murders imprisoned? ,A happy virtual reality. 
What happens to Anderton after his separation from Lara?,He becomes a drug addict. 
Why does Dr. Iris Hineman keep the alternate future reports a secret?,It would damage the credibility of the PreCrime system. 
How was Ann Lively killed?,She was drowned. 
Why did Crow agree to plant photos and be killed?,For his family's financial well being. 
Who does Agatha find out was her mother?,Ann Lively. 
What does Lamar Burgess do when Witwer reports the two attempts on Lively's life? ,He kills Witwer with Anderton's gun. 
"Who tells Anderton that ""all your dreams come true""?",The prison warden. 
Where is Burgess when Anderton exposes him?,A PreCrime celebratory banquet. 
Where are the Precogs sent to when they are shut down?,To an isolated island. 
What is Maurice Hilliard's occupation?,He's a mechanical draughtsman.
Where did Maurice meet Mr. Dengate?,On a train
Why did Mr. Dengate pay Maurice?,Because he owed Maurice's late father money. 
How did Maurice think of himself when he decided to live without working?,As a free human being
Where is Maurice's family home?,Dudley
Who was the woman that Maurice decided to pursue?,Eve Madeley 
What was Eve's occupation?,She was a bookkeeper. 
Why did Eve tell Maurice she couldn't marry him ?,Because of his low income
Where does Eve agree to travel with Maurice?,Paris 
Who accompanied Maurice and Eve to Paris?,Patty Ringrose
What does Maurice Hilliard do for a living?,He works as a mechanical drafter.
How much money does Maurice Hilliard make a year?,100 euros.
How does Maurice feel about his job?,He hates it and begins to drink.
Who is Mr. Dengate?,A man who owed Maurice's father money.
What does Maurice plan to do with the 436 euros he receives from Mr. Dengate?,To quit working and live off the money for as long as he can.
Why does Maurice return to his family home?,He is lonely. 
What does Maurice plan on doing after seeing a painting of a young lady?,He plans on finding the girl.
Who is Eve Madeley?,The girl from the painting.
Why does Eve refuse to marry Maurice?,She claims that he does not make enough money.
Where does Maurice fall in love with Eve?,While traveling in Paris.
Where does Hilliard fall in love with Eve?,In Paris
What is Maurice's job?,He produces technical drawings
What leads Maurice to become an alcoholic?,He is hopeless
How much does Hilliard make per year?,100 pounds
Where does Hilliard travel to?,London and Paris
How much money does Hilliard extort from Dengate?,436 pounds
Why does Eve say she will never marry Hilliard?,He does not make enough money
Who travels with Eve and Hilliard to Paris?,Patty Ringrose
How long does Hilliard plan on living without working?,As long as he has money
Where does Hilliard meet Mr. Dengate?,On the train
Where was David born?,"Blunderstone, Suffolk, England"
When David was seven who did his mother marry?,Edward Murdstone
"To get David out of the way, where was he sent to live by his mother and stepfather?",Peggotty's family
With whom is David in love?,Little Em'ly
Where did Murdstone send David to work in London?,For a wine merchant.
